date,name,source,resources,blurb
2025-09-01,Saint Giles,https://catholicsaints.info/saint-giles/,,
2025-09-02,Martyrs of September,https://catholicsaints.info/martyrs-of-september/,,
2025-09-03,Saint Gregory the Great,https://catholicsaints.info/pope-saint-gregory-the-great/,,
2025-09-04,Blessed Maria Dina Bélanger,https://catholicsaints.info/blessed-maria-dina-belanger/,,
2025-09-05,Saint Teresa of Calcutta,https://catholicsaints.info/blessed-teresa-of-calcutta/,,
2025-09-06,Saint Magnus of Füssen,https://catholicsaints.info/saint-magnus-of-fussen/,,
2025-09-07,Blessed Giovanni Battista Mazzucconi,https://catholicsaints.info/blessed-giovanni-battista-mazzucconi/,,
2025-09-08,Nativity of the Blessed Virgin Mary,https://catholicsaints.info/our-lady-of-charity-of-el-cobre/,,
2025-09-09,Saint Peter Claver,https://catholicsaints.info/saint-peter-claver/,,
2025-09-10,Saint Nicholas of Tolentino,https://catholicsaints.info/saint-nicholas-of-tolentino/,,
2025-09-11,Blessed Charles Spinola,https://catholicsaints.info/blessed-charles-spinola/,,
2025-09-12,Saint Guy of Anderlecht,https://catholicsaints.info/saint-guy-of-anderlecht/,,
2025-09-13,Saint John Chrysostom,https://catholicsaints.info/saint-john-chrysostom/,,
2025-09-14,Blessed Notburga,https://catholicsaints.info/blessed-notburga/,,
2025-09-15,Blessed Paolo Manna,https://catholicsaints.info/blessed-paolo-manna/,,
2025-09-16,Saint Cyprian of Carthage,https://catholicsaints.info/saint-cyprian-of-carthage/,,
2025-09-17,Saint Robert Bellarmine,https://catholicsaints.info/saint-robert-bellarmine/,,
2025-09-18,Saint Joseph of Cupertino,https://catholicsaints.info/saint-joseph-of-cupertino/,,
2025-09-19,Saint Alonso de Orozco Mena,https://catholicsaints.info/saint-alonso-de-orozco-mena/,,
2025-09-20,Saints Andrew Kim Tae-gŏn; Paul Chong Ha-sang and Companions,https://catholicsaints.info/martyrs-of-korea/,,
2025-09-21,"Saint Matthew, Apostle and Evangelist",https://catholicsaints.info/saint-matthew-the-apostle/,,
2025-09-22,Saint Ignatius of Santhia,https://catholicsaints.info/saint-ignatius-of-santhia/,,
2025-09-23,Saint Pius of Pietrelcina (Padre Pio),https://catholicsaints.info/saint-padre-pio/,,
2025-09-24,Blessed Anton Martin Slomsek,https://catholicsaints.info/blessed-anton-martin-slomsek/,,
2025-09-25,Saint Cleopas,https://catholicsaints.info/saint-cleopas/,,
2025-09-26,Blessed Louis Tezza,https://catholicsaints.info/blessed-louis-tezza/,,
2025-09-27,Saint Vincent de Paul,https://catholicsaints.info/saint-vincent-de-paul/,,
2025-09-28,Saint Wenceslaus of Bohemia,https://catholicsaints.info/saint-wenceslaus-of-bohemia/,,
2025-09-29,"Saints Michael, Gabriel and Raphael, Archangels",https://catholicsaints.info/gabriel-the-archangel/,,
2025-09-30,Saint Jerome,https://catholicsaints.info/saint-jerome/,,
